id,title,authors,pdf_url,mp4_url,comments_url,source_page,other_links
01,SingDistVis: 多数の歌声から歌い方の傾向を可視化できるインタフェース,伊藤 貴之（お茶の水女子大），中野 倫靖，深山 覚，濱崎 雅弘，後藤 真孝（産総研）,https://www.wiss.org/WISS2021Proceedings/data/01.pdf,,https://www.wiss.org/WISS2021Proceedings/data/01.html,https://www.wiss.org/WISS2021Proceedings/,
02,ダンスフォーメーション作成のための候補提示型インタフェース,遠藤 輝貴，盧 承鐸，中島 一崇，楊 溪，五十嵐 健夫（東大）,https://www.wiss.org/WISS2021Proceedings/data/02.pdf,https://www.wiss.org/WISS2021Proceedings/data/02.mp4,https://www.wiss.org/WISS2021Proceedings/data/02.html,https://www.wiss.org/WISS2021Proceedings/,
03,歌唱時に高音の発声ができるようになるVR映像の提案と評価,坂名 純太，土田 修平，寺田 努，塚本 昌彦（神戸大）,https://www.wiss.org/WISS2021Proceedings/data/03.pdf,,https://www.wiss.org/WISS2021Proceedings/data/03.html,https://www.wiss.org/WISS2021Proceedings/,
04,Human-in-the-Loop型適応によるインタラクティブな音楽的拍節解析,山本 和彦（ヤマハ）,https://www.wiss.org/WISS2021Proceedings/data/04.pdf,https://www.wiss.org/WISS2021Proceedings/data/04.mp4,https://www.wiss.org/WISS2021Proceedings/data/04.html,https://www.wiss.org/WISS2021Proceedings/,
05,色の修飾語を用いた対話的なイラストの色編集,住田 桃子（東大），Nolwenn Maudet（The University of Strasbourg），福里 司，五十嵐 健夫（東大）,https://www.wiss.org/WISS2021Proceedings/data/05.pdf,,https://www.wiss.org/WISS2021Proceedings/data/05.html,https://www.wiss.org/WISS2021Proceedings/,
06,Knowledge ComposTer: 知識断片の再活用による継続的な創造活動支援シ ステム,生田 泰章（サイボウズ・ラボ），高島 健太郎（北陸先端大）,https://www.wiss.org/WISS2021Proceedings/data/06.pdf,,https://www.wiss.org/WISS2021Proceedings/data/06.html,https://www.wiss.org/WISS2021Proceedings/,
07,実世界と順序型コンテンツを連携したIoTプログラミング学習支援システム,川谷 知寛，塚田 浩二（はこだて未来大），栗原 一貴（津田塾大）,https://www.wiss.org/WISS2021Proceedings/data/07.pdf,https://www.wiss.org/WISS2021Proceedings/data/07.mp4,https://www.wiss.org/WISS2021Proceedings/data/07.html,https://www.wiss.org/WISS2021Proceedings/,
08,部屋の3次元縮小モデルを用いたMR空間内における仮想オブジェクト配置,井原 圭一，川口 一画（筑波大）,https://www.wiss.org/WISS2021Proceedings/data/08.pdf,https://www.wiss.org/WISS2021Proceedings/data/08.mp4,https://www.wiss.org/WISS2021Proceedings/data/08.html,https://www.wiss.org/WISS2021Proceedings/,
09,Color-Path: 手本動作のAR表示によるヘアアレンジ再現支援システム,松井 菜摘，大西 鮎美，寺田 努，塚本 昌彦（神戸大）,https://www.wiss.org/WISS2021Proceedings/data/09.pdf,https://www.wiss.org/WISS2021Proceedings/data/09.mp4,https://www.wiss.org/WISS2021Proceedings/data/09.html,https://www.wiss.org/WISS2021Proceedings/,
10,時間歪曲機能を用いたVRスキートレーニングの拡張,松本 高，Erwin Wu，小池 英樹（東工大）,https://www.wiss.org/WISS2021Proceedings/data/10.pdf,https://www.wiss.org/WISS2021Proceedings/data/10.mp4,https://www.wiss.org/WISS2021Proceedings/data/10.html,https://www.wiss.org/WISS2021Proceedings/,
11,ドライブレコーダのデータから旅行の思い出動画を自動生成するwebサービスの実装,尾頭 花奈（名大），石黒 祥生（名大／ティアフォー），椎尾 一郎（お茶の水女子大），武田 一哉（名大／ティアフォー）,https://www.wiss.org/WISS2021Proceedings/data/11.pdf,https://www.wiss.org/WISS2021Proceedings/data/11.mp4,https://www.wiss.org/WISS2021Proceedings/data/11.html,https://www.wiss.org/WISS2021Proceedings/,
12,TSUGITE: インタラクティブな木工ジョイントの設計・加工システム,"Maria Larsson, 吉田 博則，梅谷 信行，五十嵐 健夫（東大）",https://www.wiss.org/WISS2021Proceedings/data/12.pdf,https://www.wiss.org/WISS2021Proceedings/data/12.mp4,https://www.wiss.org/WISS2021Proceedings/data/12.html,https://www.wiss.org/WISS2021Proceedings/,
13,空間ラベリング：非専門家による画像注釈のラベル品質を改善するための空間レイアウトの活用,張 家銘（東大），李 佳憲（LeadBest Consulting Group），五十嵐 健夫（東大）,https://www.wiss.org/WISS2021Proceedings/data/13.pdf,https://www.wiss.org/WISS2021Proceedings/data/13.mp4,https://www.wiss.org/WISS2021Proceedings/data/13.html,https://www.wiss.org/WISS2021Proceedings/,
14,対戦アクションゲームにおけるプレイヤーの挙動観察のためのシーン検索,三ツ井 慧太郎，岡部 誠（静岡大）,https://www.wiss.org/WISS2021Proceedings/data/14.pdf,,https://www.wiss.org/WISS2021Proceedings/data/14.html,https://www.wiss.org/WISS2021Proceedings/,
