id,title,authors,pdf_url,mp4_url,review_url,source_page
,まえがき: WISS2008について,小池 英樹,https://www.wiss.org/WISS2008Proceedings/preface.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,グループでウェブの探索を効率化する検索共有インタフェース,武田 達弥，五十嵐 健夫 (東京大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0011.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,InPhase: 遠距離ハッピーアイスクリーム,辻田 眸，塚田 浩二，椎尾 一郎 (お茶の水女子大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0027.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,EyeCatcher: 多様な表情を撮るカメラ,塚田 浩二，沖 真帆 (お茶の水女子大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0033.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,流体シミュレーションを統合した対話的な形状設計手法,三谷 純 (筑波大学)，五十嵐 健夫 (東京大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0009.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,Sequential Graphics: 描画時の臨場感を再現するペイントソフト,櫻井 稔 (東京藝術大学)，江渡 浩一郎 (産総研),https://www.wiss.org/WISS2008Proceedings/papers/paper0028.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,法線情報のみを用いたパーティクルシミュレーションのデザイン,大和田 茂 (ソニーCSL)，藤木 淳 (日本学術振興会),https://www.wiss.org/WISS2008Proceedings/papers/paper0034.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,跳ね星: 電子機器を組み込んだデジタルスポーツ用ゴムボールの開発,出田 修，佐藤 俊樹，間宮 暖子，芝崎 郁，中村 潤，児玉 幸子，小池 英樹 (電気通信大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0021.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,電脳化粧鏡: メイクアップを支援する電子鏡台(Long),岩渕 絵里子，椎尾 一郎 (お茶の水女子大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0026.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,装着型無線加速度センサを用いたウェアラブルDJシステム,冨林 豊，竹川 佳成，寺田 努，塚本 昌彦 (神戸大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0037.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,拡張現実食卓における彩りと物語の調理システム,森 麻紀 (お茶の水女子大学)，栗原 一貴 (産総研)，塚田 浩二，椎尾 一郎 (お茶の水女子大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0013.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,液晶型テーブルトップシステム上における透明マーカの実現,小池 英樹，西川 渉 (電気通信大学)，福地 健太郎 (科学技術振興機構),https://www.wiss.org/WISS2008Proceedings/papers/paper0030.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,PhotoelasticTouch: LCDと光弾性効果を応用した透明弾性体インタフェースの提案(Long),佐藤 俊樹，間宮 暖子，小池 英樹 (電気通信大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0019.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,Shadowgraph: ペンの影を用いてOHP 風の指示ができるプレゼンテーションツール,村田 雄一，志築 文太郎，田中 二郎 (筑波大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0010.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,オノマトペン,神原 啓介，塚田 浩二 (お茶の水女子大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0023.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,演奏ルールを用いたウッドベースのための実時間運指取得システムの開発,澤 光映，竹川 佳成，寺田 努，塚本 昌彦 (神戸大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0018.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,ExpressiveTyping: 本体内蔵型加速度センサによる打鍵圧センシングとその応用,岩崎 健一郎，味八木 崇，暦本 純一 (東京大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0022.pdf,,,https://www.wiss.org/WISS2008Proceedings/
,2つの加速度センサを用いたポインティング手法,所 洋平，寺田 努，塚本 昌彦 (神戸大学),https://www.wiss.org/WISS2008Proceedings/papers/paper0031.pdf,,,https://www.wiss.org/WISS2008Proceedings/
