id,title,authors,pdf_url,mp4_url,comments_url,source_page,other_links
01,LineChaser: 視覚障碍者が列に並ぶためのスマートフォン型支援システム,栗林 雅希，粥川 青汰（早大），髙木 啓伸，浅川 智恵子（日本IBM），森島 繁生（早大）,https://www.wiss.org/WISS2020Proceedings/data/01.pdf,,https://www.wiss.org/WISS2020Proceedings/data/01.html,https://www.wiss.org/WISS2020Proceedings/,
02,One-Shot Wayfinding System: 360度スマートフォンカメラと矢印分析を用いた視覚障碍者のための公共施設における方向決定支援システム,山中 優太朗（慶大），粥川 青汰（早大），髙木 啓伸（日本IBM），長岡 雄一（東京視覚障害者生活支援センター），平塚 義宗（順天堂大），栗原 聡（慶大）,https://www.wiss.org/WISS2020Proceedings/data/02.pdf,,https://www.wiss.org/WISS2020Proceedings/data/02.html,https://www.wiss.org/WISS2020Proceedings/,
03,ストレッチセンサを用いた常時膝角度推定によるサポータ型怪我防止システム,桐野江 高太，寺田 努，塚本 昌彦，大西 鮎美（神戸大）,https://www.wiss.org/WISS2020Proceedings/data/03.pdf,,https://www.wiss.org/WISS2020Proceedings/data/03.html,https://www.wiss.org/WISS2020Proceedings/,
04,電解イオンディスプレイ,石井 綾郁（お茶の水女子大），池松 香（ヤフー），椎尾 一郎（お茶の水女子大）,https://www.wiss.org/WISS2020Proceedings/data/04.pdf,,https://www.wiss.org/WISS2020Proceedings/data/04.html,https://www.wiss.org/WISS2020Proceedings/,
05,カスタマイズ可能な二次元レンチキュラを用いた多視点情報提示手法の提案,島元 諒，塚田 浩二（はこだて未来大）,https://www.wiss.org/WISS2020Proceedings/data/05.pdf,https://www.wiss.org/WISS2020Proceedings/data/05.mp4,https://www.wiss.org/WISS2020Proceedings/data/05.html,https://www.wiss.org/WISS2020Proceedings/,
06,電気分解気泡による流水ティッカー表示と高画素階調表示,石井 綾郁，福島 真花，田中 波輝，的場 やすし（お茶の水女子大），池松 香（ヤフー），椎尾 一郎（お茶の水女子大）,https://www.wiss.org/WISS2020Proceedings/data/06.pdf,,https://www.wiss.org/WISS2020Proceedings/data/06.html,https://www.wiss.org/WISS2020Proceedings/,
07,パーツの集合体を利用した半幅帯のための帯結び形状デザインツールの提案,坂本 あゆみ，五十嵐 悠紀（明治大）,https://www.wiss.org/WISS2020Proceedings/data/07.pdf,https://www.wiss.org/WISS2020Proceedings/data/07.mp4,https://www.wiss.org/WISS2020Proceedings/data/07.html,https://www.wiss.org/WISS2020Proceedings/,
08,Pop-up Print: 双安定な折りたたみ3Dプリント,野間 裕太，鳴海 紘也，奥谷 文徳，川原 圭博（東大）,https://www.wiss.org/WISS2020Proceedings/data/08.pdf,,https://www.wiss.org/WISS2020Proceedings/data/08.html,https://www.wiss.org/WISS2020Proceedings/,
09,手芸初心者を対象とした猫用ケープの制作支援システム,栗原 彩花，五十嵐 悠紀（明治大）,https://www.wiss.org/WISS2020Proceedings/data/09.pdf,,https://www.wiss.org/WISS2020Proceedings/data/09.html,https://www.wiss.org/WISS2020Proceedings/,
10,アクティブ音響センシングを用いた食材認識カトラリー,西井 遥菜（立命館大），双見 京介（神戸大），村尾 和哉（立命館大）,https://www.wiss.org/WISS2020Proceedings/data/10.pdf,,https://www.wiss.org/WISS2020Proceedings/data/10.html,https://www.wiss.org/WISS2020Proceedings/,
11,モジュラー型パルス遅延回路に基づく3Dモデリングのためのインタラクティブブロック,齋藤 圭汰，志築 文太郎，川口 一画，高橋 伸（筑波大）,https://www.wiss.org/WISS2020Proceedings/data/11.pdf,https://www.wiss.org/WISS2020Proceedings/data/11.mp4,https://www.wiss.org/WISS2020Proceedings/data/11.html,https://www.wiss.org/WISS2020Proceedings/,
12,PartsSweeper: 電子部品や工具をさりげなく整理するインタラクティブ・デスクの試作と応用,折原 征幸，塚田 浩二（はこだて未来大）,https://www.wiss.org/WISS2020Proceedings/data/12.pdf,https://www.wiss.org/WISS2020Proceedings/data/12.mp4,https://www.wiss.org/WISS2020Proceedings/data/12.html,https://www.wiss.org/WISS2020Proceedings/,
13,FieldSweep: 永久磁石の配列とスマートフォン磁気センサを用いた二次元トラッキング手法,宮武 陽子，椎尾 一郎（お茶の水女子大）,https://www.wiss.org/WISS2020Proceedings/data/13.pdf,https://www.wiss.org/WISS2020Proceedings/data/13.mp4,https://www.wiss.org/WISS2020Proceedings/data/13.html,https://www.wiss.org/WISS2020Proceedings/,
14,ORANGE: 360度カメラと画像認識技術によるユニバーサルリモコン,木ノ原 中也（北大），巻口 誉宗（NTTサービスエボリューション研究所），高田 英明（長崎大），坂本 大介，小野 哲雄（北大）,https://www.wiss.org/WISS2020Proceedings/data/14.pdf,,https://www.wiss.org/WISS2020Proceedings/data/14.html,https://www.wiss.org/WISS2020Proceedings/,https://www.wiss.org/WISS2020Proceedings/data/14.mov
15,時間および範囲をもとに認識する凝視に基づく操作手法,礒本 俊弥（筑波大），山中 祥太（ヤフー），志築 文太郎（筑波大）,https://www.wiss.org/WISS2020Proceedings/data/15.pdf,,https://www.wiss.org/WISS2020Proceedings/data/15.html,https://www.wiss.org/WISS2020Proceedings/,
16,ベイズ情報利得を用いたスクリーンキーボードカーソルの効率的移動手法,中嶋 誠，勝 世聡，五十嵐 健夫（東大）,https://www.wiss.org/WISS2020Proceedings/data/16.pdf,https://www.wiss.org/WISS2020Proceedings/data/16.mp4,https://www.wiss.org/WISS2020Proceedings/data/16.html,https://www.wiss.org/WISS2020Proceedings/,
17,JoyFlick: フリック入力に基づくゲームパッド向けかな文字入力手法,横山 海青，髙倉 礼，志築 文太郎（筑波大）,https://www.wiss.org/WISS2020Proceedings/data/17.pdf,https://www.wiss.org/WISS2020Proceedings/data/17.mp4,https://www.wiss.org/WISS2020Proceedings/data/17.html,https://www.wiss.org/WISS2020Proceedings/,
18,画面に映っている食品の味を再現して味わえる味ディスプレイの開発,宮下 芳明（明治大）,https://www.wiss.org/WISS2020Proceedings/data/18.pdf,,https://www.wiss.org/WISS2020Proceedings/data/18.html,https://www.wiss.org/WISS2020Proceedings/,
19,散布図選択による多次元データ可視化へのグラフ彩色問題の適用,伊藤 貴之，中林 明日香，萩田 真理子（お茶の水女子大）,https://www.wiss.org/WISS2020Proceedings/data/19.pdf,,https://www.wiss.org/WISS2020Proceedings/data/19.html,https://www.wiss.org/WISS2020Proceedings/,
20,1対多遠隔コミュニケーションにおける聴衆反応の集合的提示,前田 清洲（東大），暦本 純一（東大／Sony CSL）,https://www.wiss.org/WISS2020Proceedings/data/20.pdf,https://www.wiss.org/WISS2020Proceedings/data/20.mp4,https://www.wiss.org/WISS2020Proceedings/data/20.html,https://www.wiss.org/WISS2020Proceedings/,
21,askTA : 消極的な受講生でも質問可能なオンライン演習講義支援システム,又吉 康綱，中村 聡史（明治大）,https://www.wiss.org/WISS2020Proceedings/data/21.pdf,https://www.wiss.org/WISS2020Proceedings/data/21.mp4,https://www.wiss.org/WISS2020Proceedings/data/21.html,https://www.wiss.org/WISS2020Proceedings/,
