id,title,authors,pdf_url,mp4_url,review_url,source_page
,MimiSense: 外耳道内の気圧変化を利用した下顎運動認識システム,安藤 宗孝，久保 勇貴，志築 文太郎，高橋 伸（筑波大）,https://www.wiss.org/WISS2016Proceedings/oral/01.pdf,https://www.wiss.org/WISS2016Proceedings/oral/01.mp4,https://www.wiss.org/WISS2016Proceedings/oral/01.html,https://www.wiss.org/WISS2016Proceedings/
,BaroTouch：防水タッチパネル端末に内蔵された気圧センサを用いた押下圧力取得手法,高田 崚介，林 威，安藤 宗孝，志築 文太郎，高橋 伸（筑波大）,https://www.wiss.org/WISS2016Proceedings/oral/02.pdf,https://www.wiss.org/WISS2016Proceedings/oral/02.mp4,https://www.wiss.org/WISS2016Proceedings/oral/02.html,https://www.wiss.org/WISS2016Proceedings/
,FistPointer：モバイルVR環境のための空中操作を用いたターゲット選択手法,石井 晃，阿達 拓也，島 佳吾，中前 秀太，志築 文太郎，高橋 伸（筑波大）,https://www.wiss.org/WISS2016Proceedings/oral/03.pdf,https://www.wiss.org/WISS2016Proceedings/oral/03.mp4,https://www.wiss.org/WISS2016Proceedings/oral/03.html,https://www.wiss.org/WISS2016Proceedings/
,物体を操作する映像におけるHalf-Diminished Realityの実現,奥本 隼，吉田 光男，梅村 恭司（豊橋技科大）,https://www.wiss.org/WISS2016Proceedings/oral/04.pdf,https://www.wiss.org/WISS2016Proceedings/oral/04.m4v,https://www.wiss.org/WISS2016Proceedings/oral/04.html,https://www.wiss.org/WISS2016Proceedings/
,マイクロ生体認証：人間の微細生体領域を利用した生体認証,藤田 真浩，眞野 勇人，村松 弘明（静岡大），高橋 健太（日立製作所），西垣 正勝（静岡大）,https://www.wiss.org/WISS2016Proceedings/oral/05.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/05.html,https://www.wiss.org/WISS2016Proceedings/
,図形描画とテキスト入力を用いた力学に関する質問応答システム,五十嵐 健夫（東大），横野 光，岩根 秀直（富士通研）,https://www.wiss.org/WISS2016Proceedings/oral/06.pdf,https://www.wiss.org/WISS2016Proceedings/oral/06.mp4,https://www.wiss.org/WISS2016Proceedings/oral/06.html,https://www.wiss.org/WISS2016Proceedings/
,STICK TRACK: 運手情報を付加したドラム譜面作成システム,菅家 浩之（神戸大），寺田 努（神戸大／JST），塚本 昌彦（神戸大）,https://www.wiss.org/WISS2016Proceedings/oral/07.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/07.html,https://www.wiss.org/WISS2016Proceedings/
,Mojivator: 手書き文字の自動融合により書きたくなる練習支援システム,久保田 夏美，新納 真次郎，中村 聡史，鈴木 正明（明治大）,https://www.wiss.org/WISS2016Proceedings/oral/08.pdf,https://www.wiss.org/WISS2016Proceedings/oral/08.mov,https://www.wiss.org/WISS2016Proceedings/oral/08.html,https://www.wiss.org/WISS2016Proceedings/
,着ぐるみ未装着時の着ぐるみポージング練習システム,中山 遼（神戸大），寺田 努（神戸大／JST），塚本 昌彦（神戸大）,https://www.wiss.org/WISS2016Proceedings/oral/09.pdf,https://www.wiss.org/WISS2016Proceedings/oral/09.mp4,https://www.wiss.org/WISS2016Proceedings/oral/09.html,https://www.wiss.org/WISS2016Proceedings/
,物理ベースサウンドデザインのための例示ベースインタフェース,山本 和彦（東大／ヤマハ），五十嵐 健夫（東大）,https://www.wiss.org/WISS2016Proceedings/oral/10.pdf,https://www.wiss.org/WISS2016Proceedings/oral/10.mov,https://www.wiss.org/WISS2016Proceedings/oral/10.html,https://www.wiss.org/WISS2016Proceedings/
,トレーシングとデータベースを併用する2Dアニメーション作成支援システム,福里 司，森島 繁生（早大）,https://www.wiss.org/WISS2016Proceedings/oral/11.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/11.html,https://www.wiss.org/WISS2016Proceedings/
,srt.js: 映像コンテンツへのIoT指向拡張プログラム埋め込みフレームワーク,栗原 一貴（津田塾大／Diverse技術研），橋本 美香（津田塾大）,https://www.wiss.org/WISS2016Proceedings/oral/12.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/12.html,https://www.wiss.org/WISS2016Proceedings/
,ポケレポ GO: ワンマンライブレポートシステム,竹川 佳成（はこだて未来大），松村 耕平（立命館大），西村 陽菜（はこだて未来大）,https://www.wiss.org/WISS2016Proceedings/oral/13.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/13.html,https://www.wiss.org/WISS2016Proceedings/
,Deconaby:ウェブ上の画像に対する解説アニメーション付与システム,樋川 一幸，松田 滉平，中村 聡史（明治大）,https://www.wiss.org/WISS2016Proceedings/oral/14.pdf,https://www.wiss.org/WISS2016Proceedings/oral/14.mp4,https://www.wiss.org/WISS2016Proceedings/oral/14.html,https://www.wiss.org/WISS2016Proceedings/
,チーム対戦型の貢献度提示によりバランスのよい参加を促すチャットシステム,西田 健志（神戸大）,https://www.wiss.org/WISS2016Proceedings/oral/15.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/15.html,https://www.wiss.org/WISS2016Proceedings/
,貼るだけ探索：RFIDタグの検出履歴を利用した物探し支援システムの提案,笹川 真奈，池松 香，椎尾 一郎（お茶の水女子大）,https://www.wiss.org/WISS2016Proceedings/oral/16.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/16.html,https://www.wiss.org/WISS2016Proceedings/
,AssisTag: 画像内容に基づく閲覧と単語に基づく閲覧を統合した画像探索システム,水野 加寿代，坂本 大介，五十嵐 健夫（東大）,https://www.wiss.org/WISS2016Proceedings/oral/17.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/17.html,https://www.wiss.org/WISS2016Proceedings/
,考えるための検索インタフェース Genko,大坪 五郎（ネクスト）,https://www.wiss.org/WISS2016Proceedings/oral/18.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/18.html,https://www.wiss.org/WISS2016Proceedings/
,AquaCAVE : 水泳体験を向上させる水中バーチャルリアリティ環境,山下 聖悟，張 鑫磊（東大），暦本 純一（東大／Sony CSL）,https://www.wiss.org/WISS2016Proceedings/oral/19.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/19.html,https://www.wiss.org/WISS2016Proceedings/
,Qoom: 球体型インタラクティブディスプレイ,宮藤 詩緒，LI ZHENGQING，佐藤 俊樹，小池 英樹（東工大）,https://www.wiss.org/WISS2016Proceedings/oral/20.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/20.html,https://www.wiss.org/WISS2016Proceedings/
,全天球ボールカメラによる撮影動画の視点固定手法の提案,中澤 正和，小池 英樹（東工大）,https://www.wiss.org/WISS2016Proceedings/oral/21.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/21.html,https://www.wiss.org/WISS2016Proceedings/
,Anamorphicons を用いたパノラマビューシステムの提案と実装,池松 香，笹川 真奈，椎尾 一郎（お茶の水女子大）,https://www.wiss.org/WISS2016Proceedings/oral/22.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/22.html,https://www.wiss.org/WISS2016Proceedings/
,Behind-the-Mask: 顔映像が取得可能な頭部搭載型ディスプレイ,暦本 純一（東大／Sony CSL），浦垣 啓志郎（東工大），山田 献二朗（名大）,https://www.wiss.org/WISS2016Proceedings/oral/23.pdf,,https://www.wiss.org/WISS2016Proceedings/oral/23.html,https://www.wiss.org/WISS2016Proceedings/
