id,title,authors,pdf_url,mp4_url,review_url,source_page
,まえがき: WISS2006について,垂水 浩幸,https://www.wiss.org/WISS2006Proceedings/preface.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,日常の２足歩行データに基づくキャラクター･アニメーションの創造支援,"田中浩也, 池田秀紀",https://www.wiss.org/WISS2006Proceedings/papers-cready/Support_for_Creation_of_Character.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,簡易ベクターグラフィックスのテキストへの埋め込み手法,"中嶋海介, 五十嵐健夫",https://www.wiss.org/WISS2006Proceedings/papers-cready/Embedding_Simple_Vector_Graphics.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,手書きスケッチに基づく３次元シーンのデザインシステム,"辛 孝宗, 岡部 誠, 五十嵐 健夫",https://www.wiss.org/WISS2006Proceedings/papers-cready/Interactive_Design_of_3D_Scenes_from.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,SyncDecor : 遠距離恋愛支援システム,"辻田眸, 塚田浩二, 椎尾一郎",https://www.wiss.org/WISS2006Proceedings/papers-cready/SyncDecor_Appliances_to_Arouse_Mutual.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,萌え木: 拡張現実による植物育成支援,"西田 健志, 大和田 茂",https://www.wiss.org/WISS2006Proceedings/papers-cready/MOEGI_Plant_Fostering_by_the_Assistance.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,送風ディスプレイを用いた協調型アンビエントシステムの提案,"水口 充, 中村 聡史",https://www.wiss.org/WISS2006Proceedings/papers-cready/A_Proposal_for_Collaborative_Ambient.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,Pillow: ぬいぐるみ作成のためのインタラクティブな型紙デザイン,"森 悠紀, 五十嵐 健夫",https://www.wiss.org/WISS2006Proceedings/papers-cready/Pillow_Interactive_Pattern_Design.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,描画内容を木構造でまとめた手書きツール,"武井 英人, 寺田 実",https://www.wiss.org/WISS2006Proceedings/papers-cready/A_handwriting_tool_which_organizes.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,文鎮メタファを利用したペンインタフェース,"椎尾 一郎, 辻田 眸, 岩渕 絵里子",https://www.wiss.org/WISS2006Proceedings/papers-cready/Pen_Interface_Using_Paperweight_Metaphor.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,Goromi-TV 撮りためた千以上のビデオを気ままに閲覧する方法,大坪五郎,https://www.wiss.org/WISS2006Proceedings/papers-cready/Goromi-TV_-_Exploration_for_thousands.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,PodCastle：ポッドキャストをテキストで検索，閲覧，編集できるソーシャルアノテーションシステム,"緒方淳, 後藤真孝, 江渡浩一郎",https://www.wiss.org/WISS2006Proceedings/papers-cready/PodCastle_A_Social_Annotation_System.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,プレゼン先生：音声情報処理と画像情報処理を用いたプレゼンテーションのトレーニングシステム,"栗原一貴, 後藤真孝, 緒方淳, 松坂要佐, 五十嵐健夫",https://www.wiss.org/WISS2006Proceedings/papers-cready/A_Presentation_Training_System_using.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,壁型ディスプレイを用いた非接触対話型電子広告システム,"深澤　哲生, 福地　健太郎, 小池　英樹",https://www.wiss.org/WISS2006Proceedings/papers-cready/A_Vision-based_Non-contact_Interactive.pdf,,,https://www.wiss.org/WISS2006Proceedings/
,視覚障害者への動画の音声解説提示インタフェースの試作,"佐藤 大介, 高木 啓伸, 浅川 智恵子",https://www.wiss.org/WISS2006Proceedings/papers-cready/An_Experimental_Interface_to_Present.pdf,,,https://www.wiss.org/WISS2006Proceedings/
