id,title,authors,pdf_url,mp4_url,comments_url,source_page,other_links
01,TetraForce: スマートフォンの表裏両面に対する垂直・剪断方向の力を入力可能な磁気式インタフェース,土田太一(東北大)，藤田和之(東北大)，池松香(ヤフー株式会社／東北大)，SayanSarcar(Birmingham City University)，高嶋和毅(東北大)，北村喜文(東北大),https://www.wiss.org/WISS2022Proceedings/data/01.pdf,https://www.wiss.org/WISS2022Proceedings/data/01.mp4,https://www.wiss.org/WISS2022Proceedings/data/01.html,https://www.wiss.org/WISS2022Proceedings/,
02,スマートフォン背面のジェスチャ入力を実現するスマホリング型デバイスの設計と実装,日下部完(北大)，坂本大介(北大)，小野哲雄(北大),https://www.wiss.org/WISS2022Proceedings/data/02.pdf,,https://www.wiss.org/WISS2022Proceedings/data/02.html,https://www.wiss.org/WISS2022Proceedings/,
03,ReflecTouch: 角膜反射像を利用したスマートフォンの把持姿勢推定,張翔(慶大)，池松香(ヤフー)，加藤邦拓(東京工科大)，杉浦裕太(慶大),https://www.wiss.org/WISS2022Proceedings/data/03.pdf,https://www.wiss.org/WISS2022Proceedings/data/03.mp4,https://www.wiss.org/WISS2022Proceedings/data/03.html,https://www.wiss.org/WISS2022Proceedings/,
04,Crane：プロダクトの意匠性・可折性・可製造性を考慮した折紙の計算設計プラットフォーム,須藤海(東大)，野間裕太(東大)，谷道鼓太朗(Nature Architects)，鳴海紘也(東大)，舘知宏(東大),https://www.wiss.org/WISS2022Proceedings/data/04.pdf,,https://www.wiss.org/WISS2022Proceedings/data/04.html,https://www.wiss.org/WISS2022Proceedings/,
05,FaceShow: 顔の部分表示による遠隔会議支援システム,岸本諒大(神戸大)，土田修平(神戸大)，寺田努(神戸大)，塚本昌彦(神戸大),https://www.wiss.org/WISS2022Proceedings/data/05.pdf,https://www.wiss.org/WISS2022Proceedings/data/05.mp4,https://www.wiss.org/WISS2022Proceedings/data/05.html,https://www.wiss.org/WISS2022Proceedings/,
06,研究発表コンテンツ内の意味的対応関係を活用した研究理解の支援,太田彩(東工大)，脇田建(東工大),https://www.wiss.org/WISS2022Proceedings/data/06.pdf,,https://www.wiss.org/WISS2022Proceedings/data/06.html,https://www.wiss.org/WISS2022Proceedings/,
07,Gino .Aiki: 合気道の身体の使い方の習得を支援するMRソフトウェア,鈴木湧登(北大)，坂本大介(北大)，小野哲雄(北大),https://www.wiss.org/WISS2022Proceedings/data/07.pdf,https://www.wiss.org/WISS2022Proceedings/data/07.mp4,https://www.wiss.org/WISS2022Proceedings/data/07.html,https://www.wiss.org/WISS2022Proceedings/,
08,振りの理解を助けるためのダンス動画の自動分割,遠藤輝貴(東大)，土田修平(神戸大)，五十嵐健夫(東大),https://www.wiss.org/WISS2022Proceedings/data/08.pdf,https://www.wiss.org/WISS2022Proceedings/data/08.mp4,https://www.wiss.org/WISS2022Proceedings/data/08.html,https://www.wiss.org/WISS2022Proceedings/,
09,リアルタイムフィードバックとスコアリングを導入した顕微鏡縫合術訓練,田代優香(東工大)，宮藤詩緒(東工大)，HwangDong-Hyun(東工大)，清藤哲史(東大)，金太一(東大)，五十嵐健夫(東大)，小池英樹(東工大),https://www.wiss.org/WISS2022Proceedings/data/09.pdf,https://www.wiss.org/WISS2022Proceedings/data/09.mp4,https://www.wiss.org/WISS2022Proceedings/data/09.html,https://www.wiss.org/WISS2022Proceedings/,
10,ユーザ嗜好と栄養摂取基準に基づくレシピ推薦手法の開発,尾関沙羅(東京農工大)，小寺正明( Preferred Networks)，石黒勝彦(Preferred Networks)，西村太一(京大)，樋口啓太(Preferred Networks),https://www.wiss.org/WISS2022Proceedings/data/10.pdf,,https://www.wiss.org/WISS2022Proceedings/data/10.html,https://www.wiss.org/WISS2022Proceedings/,
