year,title,pdf_url,reason
2021,[1-A10] ゲームパッド向け日本語入力手法の評価のためのオンラインゲーム環境,,missing pdf_url
2021,[2-A09] テンセグリティ構造を有するハグ・インタラクション用ロボットの開発,,missing pdf_url
2021,[2-B02] ライフログの収集・分析によるモノを無くしやすい状況の推定,,missing pdf_url
2021,[3-B07] オンライン体育授業のための対話しながら行うスポーツ,,missing pdf_url
2022,[1-B01] Helpfeel,,missing pdf_url
2022,[1-B02] サーモクロミック色漆を用いたインタラクティブに模様が変化するおぼん型アプリケーションの試作,,missing pdf_url
2022,[1-B14] リズムゲームのアルペンスキー訓練システムへの応用,,missing pdf_url
2022,[1-C05] WaddleWalls: パーティション型群ロボットを用いたインタラクティブな空間構築システム,,missing pdf_url
2022,[1-C06] ReflecTouch: 角膜反射像を利用したスマートフォンの把持姿勢推定,,missing pdf_url
2022,[2-A02] 研究発表コンテンツ内の意味的対応関係を活用した研究理解の支援,,missing pdf_url
2022,[2-A03] WristRayFlick：手首からのレイによるVR向けの片手かな文字入力手法,,missing pdf_url
2022,[2-A04] AR空間内における視線およびコントローラを用いたオブジェクト操作手法,,missing pdf_url
2022,[2-B01] 数理設計研究所,,missing pdf_url
2022,[2-B12] スポーツ走行における急激な加減速を考慮した VRサイクルシミュレーションシステムの提案,,missing pdf_url
2022,[2-B14] Displacement Projection Mapping:実物体の境界を超えた形状変化の投影,,missing pdf_url
2022,[2-C02] RhinestonePrinter: カスタマイズ可能なラインストーン造形手法の提案,,missing pdf_url
2022,[2-C03] ユーザの視線動作に応じたインタラクティブな映像デコード手法,,missing pdf_url
2022,[3-A03] FaceShow: 顔の部分表示による遠隔会議支援システム,,missing pdf_url
2022,[3-A09] 車椅子使用者を周囲の人と遠隔介助者に繋ぐ遠隔車椅子システム,,missing pdf_url
2022,[3-A10] チームラボ,,missing pdf_url
2022,[3-B01] ほぼ日,,missing pdf_url
2022,[3-B02] 振りの理解を助けるためのダンス動画の自動分割,,missing pdf_url
2022,[3-B07] TetraForce: スマートフォンの表裏両面に対する垂直・剪断方向の力を入力可能な磁気式インタフェース,,missing pdf_url
2022,[3-C02] いつでもどこでもピアノ練習が可能なグローブ型デバイスを用いた練習方法の提案,,missing pdf_url
2022,[3-C04] 筋肉の肥大化を体験するマンガ物理学的MRシステム,,missing pdf_url
2022,[3-C06] Cartoon Sliding凸: 滑落中の非平坦な崖面にナイフを刺して停止するMRシステム,,missing pdf_url
2022,[3-C08] 指輪型デバイスに対する親指スワイプジェスチャの識別,,missing pdf_url
2022,[3-C11] Gino .Aiki: 合気道の身体の使い方の習得を支援するMRソフトウェア,,missing pdf_url
2013,ライフログに基づく音楽推薦システムMALLとその検証実験,https://www.wiss.org/WISS2013Proceedings/demo/101.pdf,HTTP 404
2014,1B-01 両眼ARグラス上のインタラクティブコンテンツ,,missing pdf_url
2014,1B-02 ネットワーク越しの音楽セッションシステム「NETDUETTO」とその応用,,missing pdf_url
2014,1B-03 Unityデモブース,,missing pdf_url
2014,2A-08 モバイルAR環境による日常技能練習のゲーミフィケーション,,missing pdf_url
2014,2B-01 Pteromys：自由形状をした手投げ滑空機の対話的な設計システム,,missing pdf_url
2014,2B-03 小型実証衛星4型(SDS-4) 衛星運用システム,,missing pdf_url
2014,2B-05 成層圏気球のリアルタイム追跡,,missing pdf_url
2014,2B-06 mononome：モノとヒトのためのコミュニケーションシステム,,missing pdf_url
2014,2B-07 MEMSを用いたICT：視線検出および触覚ディスプレイ,,missing pdf_url
2014,2C-01 マルチスリット視を利用した三次元情報計測提示システムの構築,,missing pdf_url
